Step: 0, Loss: 11.036026, Tokens/sec: 1362.90
Step: 1, Loss: 11.027340, Tokens/sec: 11945.00
Step: 2, Loss: 11.013893, Tokens/sec: 12259.65
Step: 3, Loss: 10.951546, Tokens/sec: 12383.53
Step: 4, Loss: 10.931549, Tokens/sec: 12458.05
Step: 5, Loss: 10.910782, Tokens/sec: 12336.81
Step: 6, Loss: 10.810997, Tokens/sec: 12311.33
Step: 7, Loss: 10.757893, Tokens/sec: 12340.37
Step: 8, Loss: 10.643509, Tokens/sec: 12314.37
Step: 9, Loss: 10.527813, Tokens/sec: 12449.51
Step: 10, Loss: 10.420483, Tokens/sec: 12400.66
Step: 11, Loss: 10.186472, Tokens/sec: 12329.48
Step: 12, Loss: 10.213196, Tokens/sec: 12459.94
Step: 13, Loss: 10.018053, Tokens/sec: 12470.47
Step: 14, Loss: 9.957636, Tokens/sec: 12341.51
Step: 15, Loss: 9.731516, Tokens/sec: 12379.03
Step: 16, Loss: 9.834308, Tokens/sec: 12379.51
Step: 17, Loss: 9.521708, Tokens/sec: 12452.03
Step: 18, Loss: 9.608551, Tokens/sec: 12516.81
Step: 19, Loss: 9.467172, Tokens/sec: 12461.21
Step: 20, Loss: 9.570583, Tokens/sec: 12503.60
Step: 21, Loss: 9.486143, Tokens/sec: 12449.07
Step: 22, Loss: 9.273252, Tokens/sec: 12410.21
Step: 23, Loss: 9.503019, Tokens/sec: 12485.75
Step: 24, Loss: 9.350613, Tokens/sec: 12256.63
Step: 25, Loss: 9.252512, Tokens/sec: 12461.86
Step: 26, Loss: 9.261473, Tokens/sec: 12330.06
Step: 27, Loss: 9.331052, Tokens/sec: 12547.12
Step: 28, Loss: 9.188448, Tokens/sec: 12333.04
Step: 29, Loss: 8.987779, Tokens/sec: 12383.87
Step: 30, Loss: 9.059055, Tokens/sec: 12207.98
Step: 31, Loss: 9.095329, Tokens/sec: 12457.05
Step: 32, Loss: 8.870824, Tokens/sec: 12426.58
Step: 33, Loss: 8.857309, Tokens/sec: 12375.11
Step: 34, Loss: 8.912880, Tokens/sec: 12342.59
Step: 35, Loss: 8.848328, Tokens/sec: 12428.90
Step: 36, Loss: 8.944592, Tokens/sec: 12418.73
Step: 37, Loss: 8.954456, Tokens/sec: 12444.00
Step: 38, Loss: 8.882591, Tokens/sec: 12407.23
Step: 39, Loss: 8.744118, Tokens/sec: 12413.90
Step: 40, Loss: 9.067274, Tokens/sec: 12479.22
Step: 41, Loss: 8.883730, Tokens/sec: 12425.36
Step: 42, Loss: 8.891935, Tokens/sec: 12478.17
Step: 43, Loss: 8.716996, Tokens/sec: 12446.42
Step: 44, Loss: 8.815855, Tokens/sec: 12486.89
Step: 45, Loss: 8.725258, Tokens/sec: 12315.74
Step: 46, Loss: 8.819469, Tokens/sec: 12413.63
Step: 47, Loss: 9.004969, Tokens/sec: 12504.18
Step: 48, Loss: 8.881651, Tokens/sec: 12376.48
Step: 49, Loss: 8.929792, Tokens/sec: 12401.84
Step: 50, Loss: 8.875434, Tokens/sec: 12491.13
Step: 51, Loss: 8.812159, Tokens/sec: 12458.82
Step: 52, Loss: 8.837128, Tokens/sec: 12468.70
Step: 53, Loss: 8.571182, Tokens/sec: 12404.94
Step: 54, Loss: 8.808815, Tokens/sec: 12354.50
Step: 55, Loss: 8.851864, Tokens/sec: 12318.76
Step: 56, Loss: 8.817838, Tokens/sec: 12483.94
Step: 57, Loss: 8.774210, Tokens/sec: 12360.31
Step: 58, Loss: 8.656267, Tokens/sec: 12396.08
Step: 59, Loss: 8.670943, Tokens/sec: 12435.75
Step: 60, Loss: 8.612877, Tokens/sec: 12424.67
Step: 61, Loss: 8.568187, Tokens/sec: 12415.23
Step: 62, Loss: 8.446371, Tokens/sec: 12423.86
Step: 63, Loss: 8.662800, Tokens/sec: 12334.74
Step: 64, Loss: 8.334218, Tokens/sec: 12408.59
Step: 65, Loss: 8.327469, Tokens/sec: 12483.52
Step: 66, Loss: 8.446906, Tokens/sec: 12348.85
Step: 67, Loss: 8.469209, Tokens/sec: 12255.51
Step: 68, Loss: 8.484673, Tokens/sec: 12148.20
Step: 69, Loss: 8.348974, Tokens/sec: 12334.43
Step: 70, Loss: 8.291917, Tokens/sec: 12434.04
Step: 71, Loss: 8.567884, Tokens/sec: 12434.46
Step: 72, Loss: 8.150853, Tokens/sec: 12339.77
Step: 73, Loss: 8.338361, Tokens/sec: 12271.12
Step: 74, Loss: 8.287015, Tokens/sec: 12267.15
Step: 75, Loss: 8.443137, Tokens/sec: 12449.27
